Station Name,Month,Day ,Year,Mean Temperature (Celsius),Maximum Temperature (Celsius),Minimum Temperature (Celsius),Vapor Pressure (kPa) ,Average Relative Humidity (Fraction),Maximum Relative Humidity (Fraction),Minimum Relative Humidity (Fraction),Solar Radiation (MJ/m2) ,Average Wind Speed (m/s),Precipitation (millimeters)
Cokeville,5,8,2015,-999,14.79444444,1.527777778,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,9,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,10,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,11,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,12,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,13,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,14,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,15,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,16,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,17,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,18,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,19,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,20,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,21,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,22,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,23,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,24,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,25,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,26,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,27,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,28,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,29,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,30,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,5,31,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,1,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,2,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,3,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,4,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,5,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,6,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,7,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,8,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,9,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,10,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,11,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,12,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,13,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,14,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,15,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,16,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,17,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,18,2015,-999,30,11.04444444,-999,-999,-999,-999,-999,-999,-999
Cokeville,6,19,2015,17.80555556,28.27777778,4.266666667,0.90357808,0.5277,-999,-999,31.45331336,1.846270611,0
Cokeville,6,20,2015,15.95555556,26.38333333,3.588888889,0.906023659,0.5634,-999,-999,26.53340807,1.484169111,0
Cokeville,6,21,2015,16.37222222,29.11111111,3.416666667,0.821887304,0.5418,-999,-999,30.48197643,2.101082778,0
Cokeville,6,22,2015,15.80555556,27.16666667,1.655555556,0.764063598,0.524,-999,-999,30.92661429,1.372409389,0
Cokeville,6,23,2015,16.77777778,29.44444444,3.488888889,0.824136862,0.5256,-999,-999,31.04133253,1.202534611,0
Cokeville,6,24,2015,17.92222222,30.55555556,4.1,0.903927092,0.5337,-999,-999,30.87595404,1.542284167,0
Cokeville,6,25,2015,18.73333333,30,6.794444444,0.94631771,0.5254,-999,-999,30.88223424,1.980382278,0
Cokeville,6,26,2015,19.71666667,30.77777778,6.255555556,1.057441549,0.5335,-999,-999,31.09576089,1.417113278,0
Cokeville,6,27,2015,20.52222222,32.66666667,7.066666667,1.071146271,0.5332,-999,-999,30.87092988,1.202534611,0
